run_folder;analysis;algorithm;project;class;method;merge_commit;occurrence_id;reason;raw_value_found
results1;ioa;CHA;jgralab;de.uni_koblenz.jgralab.greql2.optimizer.CommonSubgraphOptimizer;mergeSourcePositionsBelow(Greql2Vertex, Greql2Vertex);1502a3525248376410ba747530bf6ef93a0656f2;0;INVALID_VALUE_IN_OA Inter;not-found
results1;ioa;CHA;jgralab;de.uni_koblenz.jgralab.schema.impl.CollectionDomainImpl;CollectionDomainImpl(Schema, QualifiedName, Domain);1502a3525248376410ba747530bf6ef93a0656f2;0;INVALID_VALUE_IN_OA Inter;not-found
results1;ioa;CHA;jgralab;de.uni_koblenz.jgralab.impl.GraphBaseImpl;internalDeleteEdge(Edge);7280e66b283a5941b96f6fbf22e8795bf70b0d47;0;INVALID_VALUE_IN_OA Inter;not-found
results1;ioa;CHA;jgralab;de.uni_koblenz.jgralab.codegenerator.SchemaCodeGenerator;createGraphFactoryMethod();7280e66b283a5941b96f6fbf22e8795bf70b0d47;0;INVALID_VALUE_IN_OA Inter;not-found
results1;ioa;CHA;jgralab;de.uni_koblenz.jgralab.impl.trans.EdgeImpl;setPrevIncidenceInternal(IncidenceImpl);d530577887bef4780cb227f3724bee93a2684214;0;INVALID_VALUE_IN_OA Inter;not-found
results1;ioa;CHA;mes;com.qcadoo.plugin.internal.manager.PluginManagerInstallTest;shouldFailureInstallEnabledPluginWithUnsitisfiedDependencies();16cf6469ef16ac6ef627544b000a348ac8181054;0;INVALID_VALUE_IN_OA Inter;not-found
results1;ioa;CHA;mes;com.qcadoo.plugin.internal.manager.PluginManagerInstallTest;shouldNotInstallEnabledPluginIfCannotInstall();16cf6469ef16ac6ef627544b000a348ac8181054;0;INVALID_VALUE_IN_OA Inter;not-found
results1;ioa;CHA;netphony-network-protocols;es.tid.tests.TestPCEPCommons;createAllFields(Object);07041eaa5a5fe329a0efbcecbe079f3323b65462;0;INVALID_VALUE_IN_OA Inter;not-found
results1;ioa;CHA;transit-java;com.cognitect.transit.TransitTest;testWriteSet();f6b2d6ffa4605772a03c012c540ccb762f115b29;0;INVALID_VALUE_IN_OA Inter;not-found
results1;ioa;CHA;transit-java;com.cognitect.transit.TransitTest;testWriteMap();f6b2d6ffa4605772a03c012c540ccb762f115b29;0;INVALID_VALUE_IN_OA Inter;not-found
results1;ioa;CHA;k3po;org.kaazing.k3po.driver.internal.test.utils.K3poTestRule;apply(Statement, Description);b147a61164f98a41ebf0ea384a568565d34295cb;0;INVALID_VALUE_IN_OA Inter;not-found
results1;ioa;CHA;k3po;org.kaazing.k3po.driver.internal.test.utils.K3poTestStatement;evaluate();b147a61164f98a41ebf0ea384a568565d34295cb;0;INVALID_VALUE_IN_OA Inter;not-found
results1;ioa;CHA;stormpot;stormpot.PoolTest;mustNotCachePoisonedSlots(PoolFixture);375e8c807ffca5524e6333b5ba602e2ce430300f;0;INVALID_VALUE_IN_OA Inter;not-found
results1;ioa;CHA;rxjava-extras;com.github.davidmoten.rx.internal.operators.ObservableServerSocketTest;checkServerSocketReadsTcpPushWhenBufferSizeIs(String, int);fba9f4ad2a32245c7e0e9425cd17a3d19a07ad4b;0;INVALID_VALUE_IN_OA Inter;not-found
results1;ioa;CHA;rtree;com.github.davidmoten.rtree.BenchmarksRTree;main(String[]);dd478c4ea8eeeede9848bc596dda5454a648541d;0;INVALID_VALUE_IN_OA Inter;not-found
results1;ioa;CHA;rival;net.recommenders.rival.split.splitter.SplitTest;testCrossValidation();aefae91d1ce70013519cfa0bc0132c5279c0fb2c;0;INVALID_VALUE_IN_OA Inter;not-found
results1;ioa;CHA;smartsheet-java-sdk;com.smartsheet.api.sample.Sample;main(String[]);e3a8071836d7e5cf8949174a783d1f0d9525934e;0;INVALID_VALUE_IN_OA Inter;not-found
results1;ioa;CHA;k3po;org.kaazing.k3po.driver.internal.test.utils.K3poTestRule;apply(Statement, Description);b147a61164f98a41ebf0ea384a568565d34295cb;1;INVALID_VALUE_IN_OA Inter;not-found
results1;ioa;CHA;k3po;org.kaazing.k3po.driver.internal.test.utils.K3poTestStatement;evaluate();b147a61164f98a41ebf0ea384a568565d34295cb;1;INVALID_VALUE_IN_OA Inter;not-found
results1;ioa;CHA;kryo-serializers;de.javakaffee.kryoserializers.KryoTest;beforeTest();aebbe4d73401d7ac255fc3a57af495d146f9e238;0;INVALID_VALUE_IN_OA Inter;not-found
results1;ioa;CHA;substeps-core;com.technophobia.substeps.runner.syntax.validation.SyntaxAwareStepValidatorTest;validatorReportsNoErrorsForSubstepsWithValidSteps();f51e19b36c2a13d3d11fe9744381a0c910d61c6f;0;INVALID_VALUE_IN_OA Inter;not-found
